Stock,Weight
AAPL,0.04
MSFT,0.04
GOOGL,0.04
AMZN,0.04
TSLA,0.04
JPM,0.04
BAC,0.04
WFC,0.04
C,0.04
GS,0.04
JNJ,0.04
PFE,0.04
UNH,0.04
ABBV,0.04
MRK,0.04
XOM,0.04
CVX,0.04
BP,0.04
SHEL,0.04
COP,0.04
WMT,0.04
HD,0.04
MCD,0.04
NKE,0.04
SBUX,0.04
