Stock,Weight
AAPL,0.06060606060606061
TSLA,0.06060606060606061
AMZN,0.06060606060606061
BAC,0.06060606060606061
MCD,0.06060606060606061
BP,0.06060606060606061
SHEL,0.06060606060606061
MRK,0.06060606060606061
JNJ,0.06060606060606061
SBUX,0.06060606060606061
WMT,0.030303030303030304
JPM,0.030303030303030304
WFC,0.030303030303030304
MSFT,0.030303030303030304
C,0.030303030303030304
PFE,0.030303030303030304
GS,0.030303030303030304
XOM,0.030303030303030304
CVX,0.030303030303030304
UNH,0.030303030303030304
ABBV,0.020202020202020204
HD,0.020202020202020204
COP,0.020202020202020204
NKE,0.020202020202020204
GOOGL,0.010101010101010102
